cust_id,lookalikes
C0078,"[('C0123', 0.9999132533545081), ('C0167', 0.9994832948406503), ('C0069', 0.9993276954355389)]"
C0079,"[('C0006', 0.9999729767790427), ('C0117', 0.9959680246079126), ('C0196', 0.9931911919641478)]"
C0080,"[('C0177', 0.9999835821366821), ('C0005', 0.9999807052404533), ('C0167', 0.9999089946863801)]"
C0081,"[('C0136', 0.9951573937923993), ('C0109', 0.9941137868199772), ('C0008', 0.9917104713427413)]"
C0082,"[('C0200', 0.9999821656895573), ('C0054', 0.9999747337867778), ('C0099', 0.9999645441068696)]"
C0083,"[('C0035', 0.9999950133059549), ('C0112', 0.9999687432033979), ('C0060', 0.9999209095262666)]"
C0084,"[('C0195', 0.999999436978182), ('C0024', 0.9999971340539974), ('C0124', 0.9998316354738931)]"
C0085,"[('C0042', 0.9998326426864933), ('C0089', 0.9998066342929072), ('C0001', 0.9995960737406712)]"
C0086,"[('C0038', 0.9999482291009054), ('C0047', 0.9996525472547767), ('C0030', 0.999542562718982)]"
C0087,"[('C0046', 0.999959000231785), ('C0057', 0.9998681122317473), ('C0053', 0.999838000270155)]"
C0088,"[('C0189', 0.9999503885673224), ('C0070', 0.9998910417690886), ('C0172', 0.9997300167950743)]"
C0089,"[('C0042', 0.9999990610817238), ('C0092', 0.9999328930055261), ('C0085', 0.9998066342929072)]"
C0090,"[('C0175', 0.9999998136034834), ('C0165', 0.9989748950553214), ('C0162', 0.9985819481733618)]"
C0091,"[('C0181', 0.9999873466736635), ('C0034', 0.9897953851586446), ('C0081', 0.9305716475569192)]"
C0092,"[('C0089', 0.9999328930055261), ('C0042', 0.9999160789066552), ('C0103', 0.9995281460315749)]"
C0093,"[('C0065', 0.9999930070357111), ('C0101', 0.999963620605961), ('C0028', 0.9999543830046297)]"
C0094,"[('C0029', 0.9999999887134763), ('C0166', 0.999999965662702), ('C0002', 0.9998276141994118)]"
C0095,"[('C0097', 0.9999956577124854), ('C0128', 0.9999529647019039), ('C0110', 0.9999264739808781)]"
C0096,"[('C0139', 0.9999834362034293), ('C0171', 0.9996563137457626), ('C0011', 0.9993270024800897)]"
C0097,"[('C0095', 0.9999956577124854), ('C0110', 0.9999578676354398), ('C0128', 0.9999200404185054)]"
C0098,"[('C0134', 0.9997531360989329), ('C0161', 0.999660477616644), ('C0049', 0.9965860971206624)]"
C0099,"[('C0200', 0.9999970021599545), ('C0082', 0.9999645441068696), ('C0054', 0.9998794186539177)]"
C0100,"[('C0023', 0.9997663303389601), ('C0011', 0.9970961748601028), ('C0064', 0.9960327151048411)]"
C0101,"[('C0093', 0.999963620605961), ('C0012', 0.9999591900113064), ('C0065', 0.9999247284110343)]"
C0102,"[('C0173', 0.9999999336360212), ('C0194', 0.9999823795130892), ('C0057', 0.9999690890219332)]"
C0103,"[('C0125', 0.9999597442824655), ('C0007', 0.999560131068284), ('C0092', 0.9995281460315749)]"
C0104,"[('C0122', 0.9999999287223104), ('C0148', 0.9999982737273903), ('C0163', 0.9999436515318842)]"
C0105,"[('C0149', 0.9999941975013475), ('C0054', 0.9999901399224018), ('C0082', 0.9999333067317858)]"
C0106,"[('C0047', 0.9997765607872062), ('C0072', 0.9997203326421947), ('C0086', 0.9988720056018633)]"
C0107,"[('C0040', 0.9915619871558521), ('C0016', 0.9762988882684338), ('C0154', 0.9717716422388647)]"
C0108,"[('C0149', 0.9999426980904204), ('C0105', 0.9999004276497094), ('C0059', 0.9998853330759311)]"
C0109,"[('C0136', 0.9999489866467466), ('C0008', 0.999794069724011), ('C0124', 0.997667421873612)]"
C0110,"[('C0014', 0.9999724070415112), ('C0192', 0.9999596232028699), ('C0159', 0.9999586057234516)]"
C0111,"[('C0160', 0.998572335555359), ('C0147', 0.997285666758604), ('C0003', 0.9956161658685471)]"
C0112,"[('C0060', 0.9999890931916346), ('C0035', 0.9999887258668012), ('C0083', 0.9999687432033979)]"
C0113,"[('C0169', 0.999987246962897), ('C0039', 0.9999801209107751), ('C0179', 0.9997685996322903)]"
C0114,"[('C0188', 0.999998063656024), ('C0059', 0.9999958362759217), ('C0155', 0.9999622090577711)]"
C0115,"[('C0137', 0.999956377125645), ('C0050', 0.9989338169964677), ('C0074', 0.9984743097690976)]"
C0116,"[('C0197', 0.9999955796144334), ('C0199', 0.9999133742250172), ('C0025', 0.9998777061492276)]"
C0117,"[('C0187', 0.9976674959003154), ('C0006', 0.9966006126920676), ('C0079', 0.9959680246079126)]"
C0118,"[('C0185', 0.9999904740062316), ('C0152', 0.9981353635190849), ('C0184', 0.9956029323890546)]"
C0119,"[('C0133', 0.9999950751555444), ('C0036', 0.9999943380387337), ('C0132', 0.9999875692032673)]"
C0120,"[('C0130', 0.9999992224853311), ('C0131', 0.9999982620419519), ('C0015', 0.9999931741036726)]"
C0121,"[('C0031', 0.9999703821596113), ('C0073', 0.9999598917470083), ('C0088', 0.9994487871792371)]"
C0122,"[('C0104', 0.9999999287223104), ('C0148', 0.9999975008955125), ('C0163', 0.9999475883876112)]"
C0123,"[('C0078', 0.9999132533545081), ('C0167', 0.999819955347964), ('C0005', 0.999655344648605)]"
C0124,"[('C0024', 0.9998727009712178), ('C0084', 0.9998316354738931), ('C0195', 0.9998116010399923)]"
C0125,"[('C0103', 0.9999597442824655), ('C0007', 0.999785998215434), ('C0146', 0.9996791563281712)]"
C0126,"[('C0064', 0.9972818162071756), ('C0023', 0.9900428120167545), ('C0100', 0.9867685503199474)]"
C0127,"[('C0164', 0.999853660895477), ('C0001', 0.9995685864384749), ('C0135', 0.999431207184247)]"
C0128,"[('C0180', 0.9999678469326571), ('C0095', 0.9999529647019039), ('C0063', 0.99992314535692)]"
C0129,"[('C0186', 0.9999736933052858), ('C0159', 0.9999251740983194), ('C0192', 0.9999237912831694)]"
C0130,"[('C0120', 0.9999992224853311), ('C0191', 0.9999952709724782), ('C0131', 0.9999951596319251)]"
C0131,"[('C0015', 0.999998324719213), ('C0120', 0.9999982620419519), ('C0009', 0.9999970969653273)]"
C0132,"[('C0119', 0.9999875692032673), ('C0043', 0.9999675385590011), ('C0133', 0.999966995878999)]"
C0133,"[('C0036', 0.9999999743075135), ('C0119', 0.9999950751555444), ('C0132', 0.999966995878999)]"
C0134,"[('C0161', 0.9999926318889454), ('C0098', 0.9997531360989329), ('C0049', 0.9981744445115417)]"
C0135,"[('C0127', 0.999431207184247), ('C0164', 0.9987080392937299), ('C0001', 0.9980095598676861)]"
C0136,"[('C0109', 0.9999489866467466), ('C0008', 0.9995380903473349), ('C0124', 0.9969270325657106)]"
C0137,"[('C0115', 0.999956377125645), ('C0050', 0.9993214443390489), ('C0074', 0.998946516075537)]"
C0138,"[('C0141', 0.9999939315486815), ('C0067', 0.9999292730823502), ('C0022', 0.9998560611364155)]"
C0139,"[('C0096', 0.9999834362034293), ('C0011', 0.999521575865666), ('C0171', 0.9994888686139916)]"
C0140,"[('C0178', 0.9999882683751354), ('C0061', 0.9998679174323674), ('C0069', 0.9997680931344238)]"
C0141,"[('C0138', 0.9999939315486815), ('C0022', 0.9999091009345031), ('C0067', 0.9998817714325243)]"
C0142,"[('C0019', 0.9998880084422653), ('C0076', 0.9995686419876988), ('C0174', 0.9991040065474627)]"
C0143,"[('C0145', 0.9999648095417675), ('C0194', 0.9999432407195679), ('C0173', 0.9998683506343985)]"
C0144,"[('C0077', 0.9999986256430584), ('C0172', 0.999976133458), ('C0070', 0.9998816609231769)]"
C0145,"[('C0194', 0.9999974344327561), ('C0173', 0.9999692885032901), ('C0102', 0.9999663668965297)]"
C0146,"[('C0007', 0.9999892184641412), ('C0061', 0.999793575111109), ('C0125', 0.9996791563281712)]"
C0147,"[('C0160', 0.9997948841417882), ('C0190', 0.9993904221833269), ('C0111', 0.997285666758604)]"
C0148,"[('C0104', 0.9999982737273903), ('C0122', 0.9999975008955125), ('C0163', 0.9999222002464005)]"
C0149,"[('C0105', 0.9999941975013475), ('C0054', 0.9999692096735966), ('C0108', 0.9999426980904204)]"
C0150,"[('C0191', 0.9999998317356037), ('C0063', 0.9999982070986027), ('C0130', 0.9999933186404797)]"
C0151,"[('C0032', 0.9999090839872589), ('C0071', 0.9998917868908316), ('C0052', 0.9998436740862262)]"
C0152,"[('C0184', 0.9994642845665399), ('C0044', 0.9987903639549464), ('C0185', 0.998392282543618)]"
C0153,"[('C0028', 0.9999927690312702), ('C0065', 0.9999537782253906), ('C0093', 0.9999108290205885)]"
C0154,"[('C0026', 0.9998736275756283), ('C0016', 0.9997996887384316), ('C0040', 0.9941553864809896)]"
C0155,"[('C0188', 0.9999773812421655), ('C0114', 0.9999622090577711), ('C0021', 0.9999507920494966)]"
C0156,"[('C0068', 0.9999611543742175), ('C0012', 0.9998737484945023), ('C0041', 0.9997718462926148)]"
C0157,"[('C0002', 0.9999942123711493), ('C0094', 0.9997586574439695), ('C0029', 0.999755345499764)]"
C0158,"[('C0066', 0.9975534250365904), ('C0026', 0.9771786003403188), ('C0154', 0.9736781860639668)]"
C0159,"[('C0192', 0.9999999936693651), ('C0014', 0.9999986053609479), ('C0186', 0.9999876009361377)]"
C0160,"[('C0147', 0.9997948841417882), ('C0111', 0.998572335555359), ('C0190', 0.998478372242325)]"
C0161,"[('C0134', 0.9999926318889454), ('C0098', 0.999660477616644), ('C0049', 0.9983989395301716)]"
C0162,"[('C0004', 0.9999998954114413), ('C0165', 0.9999681738216997), ('C0175', 0.9986142663477242)]"
C0163,"[('C0122', 0.9999475883876112), ('C0104', 0.9999436515318842), ('C0148', 0.9999222002464005)]"
C0164,"[('C0001', 0.9999247622065323), ('C0127', 0.999853660895477), ('C0085', 0.9991722505624987)]"
C0165,"[('C0162', 0.9999681738216997), ('C0004', 0.9999644203456909), ('C0175', 0.9990023478105219)]"
C0166,"[('C0029', 0.9999999937486929), ('C0094', 0.999999965662702), ('C0002', 0.9998227141708376)]"
C0167,"[('C0005', 0.9999735069046766), ('C0080', 0.9999089946863801), ('C0123', 0.999819955347964)]"
C0168,"[('C0196', 0.999983285814364), ('C0079', 0.9925010478199011), ('C0006', 0.9915755987382996)]"
C0169,"[('C0039', 0.999999212412458), ('C0113', 0.999987246962897), ('C0179', 0.9998644901872927)]"
C0170,"[('C0037', 0.9998315048910037), ('C0051', 0.9997597426022673), ('C0171', 0.9987893308802385)]"
C0171,"[('C0096', 0.9996563137457626), ('C0051', 0.9996276244648546), ('C0139', 0.9994888686139916)]"
C0172,"[('C0077', 0.9999862135188196), ('C0144', 0.999976133458), ('C0070', 0.9999640825522143)]"
C0173,"[('C0102', 0.9999999336360212), ('C0194', 0.9999844758849145), ('C0145', 0.9999692885032901)]"
C0174,"[('C0055', 0.9998239408756523), ('C0019', 0.9996254971535451), ('C0142', 0.9991040065474627)]"
C0175,"[('C0090', 0.9999998136034834), ('C0165', 0.9990023478105219), ('C0162', 0.9986142663477242)]"
C0176,"[('C0027', 0.998959857671982), ('C0010', 0.9980107326194383), ('C0055', 0.9885993676678867)]"
C0177,"[('C0080', 0.9999835821366821), ('C0198', 0.9999562031878806), ('C0020', 0.9999371705760595)]"
C0178,"[('C0140', 0.9999882683751354), ('C0061', 0.9999349129999345), ('C0069', 0.9996520509918214)]"
C0179,"[('C0075', 0.9999801973448266), ('C0017', 0.9999774106366431), ('C0039', 0.9998843636422797)]"
C0180,"[('C0063', 0.9999904126228862), ('C0150', 0.9999803277849841), ('C0191', 0.9999765207875541)]"
C0181,"[('C0091', 0.9999873466736635), ('C0034', 0.9904996947908862), ('C0081', 0.9287181367605106)]"
C0182,"[('C0053', 0.9999874541354946), ('C0046', 0.9999026444204486), ('C0163', 0.999833145054312)]"
C0183,"[('C0048', 0.9999997363059528), ('C0187', 0.9979652652575803), ('C0117', 0.9912851886109092)]"
C0184,"[('C0044', 0.9998645886738321), ('C0152', 0.9994642845665399), ('C0185', 0.9960023206375689)]"
C0185,"[('C0118', 0.9999904740062316), ('C0152', 0.998392282543618), ('C0184', 0.9960023206375689)]"
C0186,"[('C0159', 0.9999876009361377), ('C0192', 0.9999870342719025), ('C0014', 0.9999778895603455)]"
C0187,"[('C0048', 0.9980113055125851), ('C0183', 0.9979652652575803), ('C0117', 0.9976674959003154)]"
C0188,"[('C0114', 0.999998063656024), ('C0059', 0.9999882210748234), ('C0155', 0.9999773812421655)]"
C0189,"[('C0070', 0.9999884751294267), ('C0088', 0.9999503885673224), ('C0172', 0.9999118673537448)]"
C0190,"[('C0147', 0.9993904221833269), ('C0160', 0.998478372242325), ('C0111', 0.9941072586447304)]"
C0191,"[('C0150', 0.9999998317356037), ('C0063', 0.999996940324289), ('C0130', 0.9999952709724782)]"
C0192,"[('C0159', 0.9999999936693651), ('C0014', 0.9999987869552464), ('C0186', 0.9999870342719025)]"
C0193,"[('C0058', 0.9999999236176812), ('C0020', 0.9999994388278662), ('C0198', 0.999995765803781)]"
C0194,"[('C0145', 0.9999974344327561), ('C0173', 0.9999844758849145), ('C0102', 0.9999823795130892)]"
C0195,"[('C0084', 0.999999436978182), ('C0024', 0.9999940304926206), ('C0124', 0.9998116010399923)]"
C0196,"[('C0168', 0.999983285814364), ('C0079', 0.9931911919641478), ('C0006', 0.9923079251591572)]"
C0197,"[('C0116', 0.9999955796144334), ('C0199', 0.9998698184641015), ('C0025', 0.9998267867677778)]"
C0198,"[('C0020', 0.9999982875594068), ('C0058', 0.9999968268171054), ('C0193', 0.999995765803781)]"
C0199,"[('C0025', 0.9999969325867761), ('C0056', 0.999936221440607), ('C0116', 0.9999133742250172)]"
C0200,"[('C0099', 0.9999970021599545), ('C0082', 0.9999821656895573), ('C0054', 0.9999144454440348)]"
